"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
record_id,record,,text,,,,,,,,,,,,,,
ae_date,ctcae_50_adverse_event,"<div class=""rich-text-field-label""><p>Adverse Event Form </p> <p><span style=""font-weight: normal; color: #e03e2d;"">README: This form is designed in conjunction with automated emails to improve efficiency for study staff and investigators. </span><span style=""color: #e03e2d;"">Leave the Form Status as Incomplete or Unverified until an AE is ready for closeout. Marking the form status as Complete will send an email to the investigator for final signature. </span></p></div>",text,"Date form initiated",,MM-DD-YYYY,date_mdy,,,,,,,,,,
ae_examiner,ctcae_50_adverse_event,,text,Examiner,,,,,,,,,,,,," @DEFAULT = [user-fullname]"
ae_heard,ctcae_50_adverse_event,,dropdown,"How did we learn of this AE?","1, Phone | 2, In-Person Visit | 5, Other","may select 1",,,,,,,,,,,
ae_heard_oth,ctcae_50_adverse_event,,notes,"Other (Specify)",,,,,,,"[ae_heard] = '5'",,,,,,
ae_progress_note,ctcae_50_adverse_event,"Coordinator Section",notes,"<div class=""rich-text-field-label""><p>AE Details / Narrative / Progress Note: <br /><br /><span style=""font-weight: 400;"">Please include a full, detailed narrative of the event. Provide as many details as possible so that any reviewer can fully grasp the situation. Be sure to track ongoing details until the event is completely resolved. <strong>For each new note, be sure to start a new line with the date of the note and end the note with initials.</strong> </span></p> <p><span style=""font-weight: 400;"">Guidance for questions to ask when gathering information</span></p> <ul> <li><span style=""font-weight: 400;"">When did the event start?</span></li> <li><span style=""font-weight: normal;"">How and where did the event occur?</span></li> <li><span style=""font-weight: 400;"">If interventional study, when did the event begin in relation to the last dose of the intervention?</span></li> <li><span style=""font-weight: 400;"">Is the event still on-going? If not, when did it cease?</span></li> <li><span style=""font-weight: 400;"">Is the event persistent or does it come and go?</span></li> <li><span style=""font-weight: 400;"">Was any treatment administered to alleviate the event? If so, what treatment (list meds, dose, when and how often taken)? Was the event alleviated by the treatment?</span></li> <li><span style=""font-weight: 400;"">For pain-related AE's, may ask to rate pain on a scale of 1-10.</span></li> <li><span style=""font-weight: 400;"">Did the event interfere with ability to complete daily activities? What type of activities? How was the participant limited? </span></li> <li><span style=""font-weight: 400;"">Did the participant seek care?</span></li> <li><span style=""font-weight: 400;"">Did the participant go to the hospital? When? Where? Still there? Did they stay overnight? How long? What dates were they there?<strong> Be sure to consult study protocol for definition of hospitalization.</strong> </span></li> </ul> <p><span style=""font-weight: 400;""><span style=""font-weight: normal;"">Example for how to document AE and notes:</span></span></p> <p><span style=""font-weight: 400;"">7/12/2023: Particpant rolled ankle on a stone while working in their garden at home in the afternoon on 7/11/23. Pt went to emergency care for imaging, which showed no structural damage. At doctor's suggestions, the pt has been icing, elevating, and using Advil. We were notified by phone on 7/12/2023. JC</span></p> <p><span style=""font-weight: 400;"">7/29/2023: Pt feels symptoms have completely resolved. No longer feels pain in ankle and is able to walk without symptoms. Closing out AE. JC</span></p></div>",,,,,,,,,,,,,
ae_concur_meds_rx,ctcae_50_adverse_event,,radio,"Were concurrent medications changed?","1, Yes | 0, No","may select 1; if YES update concurrent medication log",,,,,,,,,,,
ae_meds_rx_notes,ctcae_50_adverse_event,,notes,"Medication Prescribed Notes",,,,,,,"[ae_concur_meds_rx] = '1'",,,,,,
ae_int_action,ctcae_50_adverse_event,,radio,"What action was taken with the study intervention?","1, Dose/Intervention not changed | 2, Dose/Intervention stopped | 3, Dose/Intervention interrupted | 4, Dose/Intervention modified","NOTE: Remove this field for non-interventional studies",,,,,,,,,,,
ae_dose_stop,ctcae_50_adverse_event,,text,"Date dose/intervention was stopped",,"NOTE: Remove this field for non-interventional studies",date_mdy,,,,"[ae_int_action] = '2' or [ae_int_action] = '3'",,,,,,
